Granularidade Geográfica;Categoria;Filtro;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Pará;Localidade;Total;Pará;PA;2016;0,387;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2016;0,9387;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2016;0,6124;%;1.2
Piauí;Localidade;Total;Piauí;PI;2016;0,9723;%;1.2
Paraná;Localidade;Total;Paraná;PR;2016;0,547;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2016;0,3765;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2016;0,799;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2016;0,373;%;1.2
Roraima;Localidade;Total;Roraima;RR;2016;0,4248;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2016;0,4395;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2016;0,5921;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2016;0,7072;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2016;0,3484;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2016;0,8704;%;1.2
Brasil;Localidade;Total;;;2016;0,5167;%;1.2
Acre;Localidade;Total;Acre;AC;2017;0,6599;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2017;0,6936;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2017;0,4434;%;1.2
Amapá;Localidade;Total;Amapá;AP;2017;0,4265;%;1.2
Bahia;Localidade;Total;Bahia;BA;2017;0,5957;%;1.2
Ceará;Localidade;Total;Ceará;CE;2017;0,6641;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2017;0,2361;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2017;0,5403;%;1.2
Goiás;Localidade;Total;Goiás;GO;2017;0,5938;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2017;0,6696;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2017;0,598;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2017;0,7595;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2017;0,5595;%;1.2
Pará;Localidade;Total;Pará;PA;2017;0,4071;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2017;0,9325;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2017;0,6319;%;1.2
Piauí;Localidade;Total;Piauí;PI;2017;0,9679;%;1.2
Paraná;Localidade;Total;Paraná;PR;2017;0,5325;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2017;0,3681;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2017;0,7877;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2017;0,3353;%;1.2
Roraima;Localidade;Total;Roraima;RR;2017;0,467;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2017;0,4348;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2017;0,6014;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2017;0,7223;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2017;0,3396;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2017;0,883;%;1.2
Brasil;Localidade;Total;;;2017;0,5194;%;1.2
Acre;Localidade;Total;Acre;AC;2018;0,6836;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2018;0,7087;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2018;0,4765;%;1.2
Amapá;Localidade;Total;Amapá;AP;2018;0,643;%;1.2
